size,reactance_pvc_al,reactance_steel,cu_resistance_pvc,cu_resistance_al,cu_resistance_steel,al_resistance_pvc,al_resistance_al,al_resistance_steel
14,0.058,0.073,3.100,3.100,3.100,0.000,0.000,0.000
12,0.054,0.068,2.000,2.000,2.000,3.200,3.200,3.200
10,0.050,0.063,1.200,1.200,1.200,2.000,2.000,2.000
8,0.052,0.065,0.780,0.780,0.780,1.300,1.300,1.300
6,0.051,0.064,0.490,0.490,0.490,0.810,0.810,0.810
4,0.048,0.060,0.310,0.310,0.310,0.510,0.510,0.510
3,0.047,0.059,0.250,0.250,0.250,0.400,0.410,0.400
2,0.045,0.057,0.190,0.200,0.200,0.320,0.320,0.320
1,0.046,0.057,0.150,0.160,0.160,0.250,0.260,0.250
1/0,0.044,0.055,0.120,0.130,0.120,0.200,0.210,0.200
2/0,0.043,0.054,0.100,0.100,0.100,0.160,0.160,0.160
3/0,0.042,0.052,0.077,0.082,0.079,0.130,0.130,0.130
4/0,0.041,0.051,0.062,0.067,0.063,0.100,0.110,0.100
250,0.041,0.052,0.052,0.057,0.054,0.085,0.090,0.086
300,0.041,0.051,0.044,0.049,0.045,0.071,0.076,0.072
350,0.040,0.050,0.038,0.043,0.039,0.061,0.066,0.063
400,0.040,0.049,0.033,0.038,0.035,0.054,0.059,0.055
500,0.039,0.048,0.027,0.032,0.029,0.043,0.048,0.045
600,0.039,0.048,0.023,0.028,0.025,0.036,0.041,0.038
750,0.038,0.048,0.019,0.024,0.021,0.029,0.034,0.031
1000,0.037,0.046,0.015,0.019,0.018,0.023,0.027,0.025
